property_id,price,month,year,surface_total,surface_covered,rooms,bedrooms,bathrooms,property_type,lat,lon,remodelado,vista_panoramica,deposito,conjunto_cerrado,balcon_terraza,tfidf_premium,parqueaderos_txt,piso_txt,gimnasio,amenidades,num_amenidades,dist_cbd_km,dist_transmilenio_m,dist_via_arterial_m,dist_hospital_m,dist_centro_com_m,dist_parque_m,n_restaurantes_500m,n_bancos_500m,walkability_score,densidad_vial
4fa04a187235d7509a43a8cf,580000000.0,10,2020,119.0,108.0,3.0,3,3.0,Casa,4.7072107,-74.0996451,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,12.431008651831885,537.9355425142733,248.60124692553947,329.06765127466167,495.7772378873968,60.466695967970125,25,1,100.0,152.78874536821954
f9cfbb306af543a759c1f3f2,600000000.0,10,2020,119.0,108.0,9.0,9,3.0,Casa,4.6122001,-74.1316419,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,6.391587443719118,1857.483655647903,121.47402527382606,184.5069161389002,840.7768446836244,34.624502366133015,31,0,83.33333333333334,136.2366312866624
957a84e8e93ae2b33bc6f61b,400000000.0,10,2020,119.0,108.0,8.0,8,3.0,Casa,4.5866198,-74.1386635,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.091042674569122,982.9851185941196,578.4551159232869,752.940446570566,725.709905272142,164.02657958717654,12,2,83.33333333333334,119.6845172051053
eb32d75b32bc5e8677207fc7,800000000.0,10,2020,119.0,108.0,6.0,6,3.0,Casa,4.6781471169,-74.1421539541,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.558775394343414,2201.857585135041,1254.9634150785182,423.10608076286303,448.6622022226321,91.42779902154514,4,4,83.33333333333334,115.8647985708998
880a6e7bd74dc2568940d275,480000000.0,10,2020,119.0,108.0,3.0,3,3.0,Casa,4.756503,-74.0515526,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,17.837473992641044,646.8396482019643,413.0882544797004,1043.7931349234632,430.14743175003713,169.8376521837138,45,2,100.0,175.70705717345243
847cf8c0907ac512c8a0fc74,800000000.0,10,2020,175.0,253.0,5.0,5,3.0,Casa,4.703,-74.057,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,11.862308060250763,350.95218547526065,253.1137079868499,321.5978267760051,814.350759361907,134.6538833258856,8,4,100.0,143.8760685550734
a5a8d725bc0813847bab03f1,950000000.0,10,2020,119.0,108.0,3.0,3,4.0,Casa,4.6618816,-74.1258594,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,9.014560401787792,1519.4889551106014,622.857321891704,960.7481247896926,550.7701892895833,41.0701280572775,17,5,83.33333333333334,99.31268448934269
8f4986c3d1ffb934558342e9,560000000.0,10,2020,119.0,108.0,3.0,7,4.0,Casa,4.6047671,-74.1156121,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.4792111884316,984.9588024207054,558.0203398261136,617.8879275849251,982.4426593887029,122.81735541917556,16,0,83.33333333333334,136.2366312866624
835b0b0a59a523fb39bb569e,450000000.0,10,2020,119.0,108.0,3.0,5,4.0,Casa,4.7164642,-74.1225279,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.159637175404685,1453.7345694182286,445.6818886913907,961.9912598240818,1119.0251756842558,8.14071531464003,37,1,83.33333333333334,133.69015219719208
61e681bc3574d96b1b8f36a1,720000000.0,10,2020,119.0,108.0,3.0,6,5.0,Casa,4.5999955123,-74.1111516953,0.0,0.0,1.0,0.0,0.0,1.3501538132962074,1.0,0.0,0.0,0.0,0.0,3.92806914265806,297.69850794246423,279.7222339801261,441.8414340050891,256.9480181352769,56.7800905202576,10,2,100.0,143.8760685550734
6688f1c06ef81e8aaa584340,720000000.0,10,2020,119.0,108.0,3.0,4,5.0,Casa,4.725,-74.04,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.674335186284758,1186.668709811,839.4138102937666,572.8444252385921,425.1852920798104,110.13048260680635,23,2,83.33333333333334,90.40000767619657
cde56ba411b61f8bda1e2462,400000000.0,10,2020,119.0,108.0,1.0,1,3.0,Apartamento,4.6920767866,-74.0422063076,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,11.105672684287727,430.2404368311514,344.3073643207904,217.510497101779,611.4163348276227,141.22465775656292,15,2,100.0,164.247901270836
b73d00764c9e0a94aac5b4f7,550000000.0,10,2020,119.0,108.0,3.0,3,3.0,Apartamento,4.7508783,-74.037225,1.0,1.0,0.0,0.0,1.0,2.15497548202921,0.0,10.0,1.0,1.0,4.0,17.53756776048013,1062.9389564366238,222.56161923729053,349.4299899489626,721.2966843399448,85.20990016797457,2,0,66.66666666666666,54.749300423612
03241335538f394cf2bf9647,1350000000.0,10,2020,119.0,108.0,3.0,3,3.0,Apartamento,4.7180906,-74.0268117,0.0,1.0,1.0,1.0,1.0,1.956220780973915,2.0,0.0,0.0,1.0,5.0,14.420914349567408,2685.467262752678,141.3063892988101,792.0921904114422,305.99148615722106,113.78288198079083,5,1,83.33333333333334,96.76620539987236
8349ebead093a6452883637e,680000000.0,10,2020,119.0,108.0,2.0,2,3.0,Apartamento,4.6936711774,-74.0449118614,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,11.1773577277302,778.7040262270468,329.2872032863251,160.17624778266372,703.325178117787,78.03781661887983,18,2,100.0,123.50423583931078
